reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,575,173,339,80,27120,0.00595507606555678,0.8275,4.24,headline
2,959,174,372,86,31992,0.00702488176582937,0.8342,4.33,headline
3,357,352,728,131,95368,0.02094113916740483,0.6181,5.56,headline
4,1106,358,448,131,58688,0.012886854872249127,0.5528,3.42,headline
5,460,529,287,59,16933,0.0037181896393094745,0.7755,4.86,text_block
6,780,536,167,53,8851,0.0019435242719853636,0.5323,3.15,text_block
7,977,535,469,56,26264,0.005767113487676374,0.7147,8.38,text_block
8,281,781,568,168,95424,0.02095343578464934,0.3674,3.38,text_block
9,1103,770,516,320,165120,0.03625745427524836,0.4272,1.61,text_block
10,281,924,569,159,90471,0.01986584390586237,0.4486,3.58,text_block
11,270,1163,1348,1262,1701176,0.37354839531340783,0.7619,1.07,text_block
12,545,2452,800,93,74400,0.01633693433913807,0.4169,8.6,text_block
13,0,2609,98,48,4704,0.001032915848539052,0.2332,2.04,text_block
14,1483,2617,148,40,5920,0.0012999281087056097,0.4289,3.7,text_block
