reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,575,192,336,58,19488,0.004279222801090359,0.8999,5.79,headline
2,959,193,369,64,23616,0.005185659157971568,0.8457,5.77,headline
3,357,371,689,109,75101,0.01649086163714527,0.405,6.32,headline
4,1106,377,445,73,32485,0.0071331359140712385,0.5806,6.1,headline
5,457,526,290,62,17980,0.0039480924652916995,0.7357,4.68,text_block
6,777,533,170,56,9520,0.002090424931567129,0.5098,3.04,text_block
7,974,532,472,59,27848,0.006114932089735443,0.675,8.0,text_block
8,278,778,571,171,97641,0.02144025007806156,0.3638,3.34,text_block
9,1100,767,519,323,167637,0.036810143303899034,0.4244,1.61,text_block
10,278,921,572,162,92664,0.02034738822045551,0.4418,3.53,text_block
11,267,1160,1351,1265,1709015,0.3752697021451888,0.7585,1.07,text_block
12,542,2449,803,96,77088,0.01692717196687467,0.4115,8.36,text_block
13,0,2605,98,52,5096,0.0011189921692506398,0.2168,1.88,text_block
14,1475,2606,156,51,7956,0.001746997978523958,0.3825,3.06,text_block
