reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,135,94,1270,1853,2353310,0.8554035078919026,0.6179,0.69,text_block
2,668,93,597,72,42984,0.015624233264306675,0.4116,8.29,headline
3,141,146,342,125,42750,0.01553917671806045,0.5194,2.74,text_block
4,977,184,411,388,159468,0.05796494579826114,0.8114,1.06,text_block
5,133,286,315,380,119700,0.04350969481056926,0.4561,0.83,text_block
6,174,274,300,107,32100,0.011668013395315565,0.3263,2.8,text_block
7,342,393,117,125,14625,0.005316034140389101,0.6657,0.94,text_block
8,457,484,49,24,1176,0.0004274636683143646,0.1497,2.04,image
9,474,640,59,488,28792,0.010465590083424478,0.3443,0.12,text_block
10,985,596,394,953,375482,0.13648376964797132,0.8428,0.41,column
11,141,671,391,506,197846,0.07191494636166988,0.4225,0.77,text_block
12,145,1198,391,670,261970,0.09522334794924668,0.7747,0.58,text_block
13,987,1564,390,121,47190,0.0171530701596555,0.7346,3.22,text_block
