reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,711,88,42,24,1008,0.0003663974299837411,0.8214,1.75,text_block
2,959,88,88,24,2112,0.0007676898532992671,0.6411,3.67,headline
3,41,172,394,773,304562,0.11070509332411524,0.5186,0.51,text_block
4,465,172,394,424,167056,0.06072310422952763,0.5002,0.93,text_block
5,890,173,394,772,304168,0.11056187845564937,0.5065,0.51,text_block
6,464,616,394,329,129626,0.047117691725270264,0.5217,1.2,text_block
7,1243,578,41,35,1435,0.0005216074524074093,0.4662,1.17,text_block
8,43,986,1233,650,801450,0.29131867089332275,0.5103,1.9,advertisement
9,47,1040,115,111,12765,0.004639943644585769,0.6065,1.04,text_block
10,213,1071,99,55,5445,0.001979200403037173,0.8639,1.8,text_block
11,349,1071,123,54,6642,0.0024142973511428654,0.7534,2.28,text_block
12,509,1070,61,54,3294,0.0011973344586968682,0.8476,1.13,text_block
13,50,1178,134,54,7236,0.0026302101223832845,0.929,2.48,text_block
14,213,1177,260,55,14300,0.005197900048380454,0.8771,4.73,text_block
15,494,1186,75,44,3300,0.0011995153957801048,0.8015,1.7,text_block
16,48,1402,389,37,14393,0.0052317045731706206,0.3598,10.51,text_block
17,468,1419,393,212,83316,0.030284492337822794,0.5115,1.85,text_block
18,48,1553,390,44,17160,0.006237480058056545,0.5491,8.86,text_block
19,48,1615,390,233,90870,0.033030292125617616,0.471,1.67,text_block
20,432,1648,207,191,39537,0.014371284909987275,0.7165,1.08,text_block
21,666,1655,166,22,3652,0.001327463704663316,0.8067,7.55,text_block
22,849,1655,158,22,3476,0.0012634895502217104,0.8418,7.18,text_block
23,1025,1655,63,22,1386,0.000503796466227644,0.855,2.86,text_block
24,1098,1656,178,22,3916,0.0014234249363257244,0.7934,8.09,text_block
25,535,1795,103,54,5562,0.0020217286761602857,0.708,1.91,text_block
