reading_order,x,y,w,h,area,area_ratio,fill_ratio,aspect_ratio,label
1,0,0,47,650,30550,0.006781618993328041,0.4343,0.07,text_block
2,522,123,544,79,42976,0.009539995347210013,0.4206,6.89,headline
3,1514,125,37,111,4107,0.0009116893356987976,0.1826,0.33,text_block
4,0,229,1621,2221,3600241,0.7991968165681944,0.5449,0.73,text_block
5,519,353,54,74,3996,0.0008870490833826139,0.1061,0.73,image
6,304,452,33,63,2079,0.000461505266354468,0.3425,0.52,text_block
7,1032,408,45,45,2025,0.0004495181165790273,0.2,1.0,text_block
8,1105,409,173,105,18165,0.0040323439939052,0.3371,1.65,text_block
9,189,549,38,38,1444,0.00032054526436548907,0.1558,1.0,text_block
10,254,590,106,193,20458,0.004541353890851229,0.3808,0.55,text_block
11,1253,597,148,145,21460,0.004763782114462186,0.2897,1.02,text_block
12,1188,714,52,63,3276,0.0007272204197100708,0.475,0.83,text_block
13,1335,736,65,115,7475,0.0016593323068781378,0.2246,0.57,text_block
14,1575,879,35,32,1120,0.0002486223657128447,0.2,1.09,text_block
