title1,title2,address1,address2,ngram_similarity,shingle_similarity,combined_similarity
Maxines ,Maxine's ,243 Camac,243 Camac,0.0,1.0,1.0
Maxines ,Maxine's ,243 Camac,243 Camac ,0.0,1.0,1.0
Maxines ,Maxine's ,243 Camac,243 Camac ,0.0,1.0,1.0
P.B.L. Club ,P.B.L Club ,204 S. Quince ,204 S. Quince ,1.0,1.0,1.0
P.B.L. Club ,PBL Club ,204 S. Quince ,204 Quince ,1.0,1.0,1.0
V.I.P. Club,V.I.P Club,,,1.0,1.0,1.0
P.B.L Club ,PBL Club ,204 S. Quince ,204 Quince ,1.0,1.0,1.0
Dewey's,Deweys,17th & Chancellor,Chancelor at 17th St.,0.0,1.0,1.0
Westbury Hotel Bar ,Westbury Hotel ,217 S. 15th St. ,271 S 15th St. ,0.5,0.75,0.6875
Westbury Hotel Bar ,Westbury Hotel ,271 S. 15th St. ,271 S 15th St. ,0.5,0.75,0.6875
Westbury Hotel Bar ,Westbury Hotel ,271 S. 15th St. ,271 S 15th St. ,0.5,0.75,0.6875
Penrose Club ,The Penrose Club ,1415 Locust,1415 Locust ,0.5,0.7142857142857143,0.6607142857142857
Penrose Club ,The Penrose Club ,1415 Locust ,1415 Locust ,0.5,0.7142857142857143,0.6607142857142857
Penrose Club ,The Penrose Club ,1415 Locust ,1415 Locust ,0.5,0.7142857142857143,0.6607142857142857
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,217 S. 15th St. ,0.3333333333333333,0.36363636363636365,0.356060606060606
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,271 S. 15th St. ,0.3333333333333333,0.36363636363636365,0.356060606060606
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,271 S. 15th St. ,0.3333333333333333,0.36363636363636365,0.356060606060606
Westbury Hotel Bar ,Parker Hotel Bar,217 S. 15th St. ,13th & Spruce,0.3333333333333333,0.36363636363636365,0.356060606060606
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,271 S. 15th St. ,0.3333333333333333,0.36363636363636365,0.356060606060606
Parker Hotel Bar,Westbury Hotel Bar ,13th & Spruce,271 S. 15th St. ,0.3333333333333333,0.36363636363636365,0.356060606060606
C.R. Club ,R.D. Club,6400 Market ,13th & Locust,0.0,0.42857142857142855,0.3214285714285714
Rittenhouse Square,Spruce St. from Broad St. to area of Rittenhouse Square,,,0.1111111111111111,0.3404255319148936,0.283096926713948
C.R. Club ,P.B.L. Club ,6400 Market ,204 S. Quince ,0.0,0.375,0.28125
C.R. Club ,V.I.P. Club,6400 Market ,,0.0,0.375,0.28125
C.R. Club ,P.B.L Club ,6400 Market ,204 S. Quince ,0.0,0.375,0.28125
C.R. Club ,V.I.P Club,6400 Market ,,0.0,0.375,0.28125
C.R. Club ,PBL Club ,6400 Market ,204 Quince ,0.0,0.375,0.28125
P.B.L. Club ,R.D. Club,204 S. Quince ,13th & Locust,0.0,0.375,0.28125
R.D. Club,V.I.P. Club,13th & Locust,,0.0,0.375,0.28125
R.D. Club,P.B.L Club ,13th & Locust,204 S. Quince ,0.0,0.375,0.28125
R.D. Club,V.I.P Club,13th & Locust,,0.0,0.375,0.28125
R.D. Club,PBL Club ,13th & Locust,204 Quince ,0.0,0.375,0.28125
Dewey's Coffee Shop,Dewey's,13th & Chancellor,17th & Chancellor,0.0,0.25,0.25
Dewey's Coffee Shop,Deweys,13th & Chancellor,Chancelor at 17th St.,0.0,0.25,0.25
Dewey's Coffee Shop,Dewey's,17th & Chancellor,17th & Chancellor,0.0,0.25,0.25
Dewey's Coffee Shop,Deweys,17th & Chancellor,Chancelor at 17th St.,0.0,0.25,0.25
P.B.L. Club ,V.I.P. Club,204 S. Quince ,,0.0,0.3333333333333333,0.25
P.B.L. Club ,V.I.P Club,204 S. Quince ,,0.0,0.3333333333333333,0.25
Two-Forty-Seven ,Forty-Six Club ,247 17th St. ,46 S 52nd St. ,0.0,0.25,0.25
Two-Forty-Seven ,Forty-Six Club ,247 17th St. ,46 S. 52nd St. ,0.0,0.25,0.25
V.I.P. Club,P.B.L Club ,,204 S. Quince ,0.0,0.3333333333333333,0.25
V.I.P. Club,PBL Club ,,204 Quince ,0.0,0.3333333333333333,0.25
Dewey's Coffee Shop,Dewey's,13th & Chancellor,17th & Chancellor,0.0,0.25,0.25
Dewey's Coffee Shop,Deweys,13th & Chancellor,Chancelor at 17th St.,0.0,0.25,0.25
Dewey's Coffee Shop,Dewey's,17th & Chancelor,17th & Chancellor,0.0,0.25,0.25
Dewey's Coffee Shop,Deweys,17th & Chancelor,Chancelor at 17th St.,0.0,0.25,0.25
P.B.L Club ,V.I.P Club,204 S. Quince ,,0.0,0.3333333333333333,0.25
V.I.P Club,PBL Club ,,204 Quince ,0.0,0.3333333333333333,0.25
Spruce St. from 11th to 21st,Spruce St. from Broad St. to area of Rittenhouse Square,,,0.16666666666666666,0.2631578947368421,0.23903508771929824
Teddy's Bar ,Buddy's,418 S. 18th St. ,13th & Commerce,0.0,0.2,0.2
Buddy's,Teddy's bar,13th & Commerce,Broad & Olney,0.0,0.2,0.2
Buddy's,Teddy's Bar ,13th & Commerce,418 S. 18th St. ,0.0,0.2,0.2
